name,weight,price
Britannia Nice Time,160gms,18.00
Britannia Milk Bikis-Milk Cream,156gms,25.00
Britannia Marie Gold Biscuit,300gms,30.00
Britannia Goodday Pista Badam Cookies,90gms,20.00
Britannia Goodday Chocolate Chip Cookies,50gms,10.00
Britannia Goodday Choco Nut Cookies,60gms,12.00
Britannia Goodday Cashew Cookies,100gms,15.00
Britannia Goodday Butter Cookies,50gms,5.00
Britannia Cookies Butter Elaichiz,222gms,20.00
Britannia Bourbon Biscuit,40gms,5.00
Britannia 50 50 Sweet n Salty Biscuit,113gms,13.00
Britannia 50 50 Maska Chaska Biscuit,61.5gms,10.00
Tiffany Custard Flavoured Cream Biscuits,90gms,20.00
Sunfeast Dream Cream Chocolate & Vanilla,150gms,20.00
Sunfeast Dream Cream Bourbon Delight,150gms,24.00
Sunfeast Special Kesari Elaichi Cookies,200gms,20.00
NutriChoice Hi-Fibre Digestive- Wt.250gms,250gms,50.00
NutriChoice Oats Cookies- Diabetic Friendl...,75gms,25.00
NutriChoice Oats Cookies- Diabetic Friendl...,150gms,50.00
Pillsbury Multigrain Atta,1kg,47.00
Dermicool Regular Talc,150gms,63.00
Pillsbury Gold Atta,5kg,225.00
Pillsbury Fridge Cheesecake Chocolate,165gms,125.00
Nature Valley Crunchy Oats & Dark Chocolate,252gms,240.00
Cadbury Biscuits Oreo Choco Creme,117.6gms,30.00
Real Apple Juice,1lt,95.00
Pillsbury Custard Powder Golden Vanilla,100gms,35.00
Amul Pasteurised Butter,100gms,35.00
Cinthol Ignite Deo Spray,215ml,175.00
